ax,ay,az,gx,gy,gz
6.68,-0.76,6.88,0.01,0.28,0.03
6.55,-0.62,7.06,0.02,0.28,0.04
6.45,-0.69,7.22,0.03,0.30,0.06
6.52,-0.61,7.22,0.01,0.30,0.07
6.46,-0.88,7.52,0.01,0.30,0.09
6.46,-1.27,7.41,0.02,0.30,0.08
6.33,-1.19,7.38,0.03,0.30,0.08
6.37,-1.22,7.43,0.01,0.30,0.07
6.34,-1.08,7.52,0.00,0.31,0.07
6.28,-1.16,7.54,0.01,0.31,0.07
6.11,-1.41,7.66,0.02,0.31,0.07
6.13,-1.36,7.80,0.01,0.31,0.06
6.19,-1.28,7.85,0.02,0.30,0.06
6.18,-1.07,7.66,0.02,0.30,0.05
5.94,-1.17,7.88,0.02,0.30,0.06
5.87,-1.15,7.70,0.01,0.30,0.07
5.84,-1.26,8.11,0.01,0.30,0.06
6.03,-1.12,8.03,0.00,0.28,0.06
6.04,-1.50,7.88,-0.00,0.28,0.05
5.83,-1.14,7.97,-0.01,0.27,0.04
5.78,-1.45,7.83,-0.00,0.28,0.05
5.76,-1.32,7.95,-0.00,0.28,0.04
5.78,-1.18,8.02,0.00,0.28,0.05
5.83,-1.62,8.12,0.00,0.27,0.04
5.78,-1.37,7.97,0.00,0.28,0.03
5.54,-1.55,7.93,0.01,0.27,0.03
5.52,-1.49,7.87,0.03,0.28,0.02
5.63,-1.36,7.99,0.05,0.28,0.01
5.69,-1.10,7.86,0.07,0.28,0.01
5.50,-1.18,8.03,0.08,0.28,0.02
5.44,-0.96,7.72,0.06,0.29,0.02
5.45,-0.79,7.73,0.04,0.30,0.04
5.45,-1.31,7.69,0.04,0.31,0.03
5.57,-1.12,7.58,0.03,0.33,0.02
5.41,-1.04,7.83,0.04,0.33,0.03
5.23,-0.95,7.99,0.03,0.34,0.04
5.28,-0.88,8.17,0.02,0.34,0.05
5.27,-0.97,8.13,-0.00,0.34,0.06
5.12,-1.22,8.25,0.00,0.35,0.05
5.11,-1.17,8.17,0.01,0.35,0.06
4.97,-1.58,8.44,0.01,0.34,0.06
5.05,-1.33,8.50,-0.00,0.35,0.04
5.15,-0.96,8.39,-0.01,0.34,0.05
4.87,-1.49,8.61,-0.00,0.35,0.05
4.78,-0.73,8.92,-0.01,0.34,0.06
4.87,-1.49,8.93,0.00,0.32,0.08
4.96,-1.62,8.69,0.01,0.31,0.05
5.04,-1.56,8.58,0.01,0.30,0.05
4.84,-1.73,8.66,0.01,0.30,0.02
4.65,-1.18,8.81,0.03,0.30,0.02
4.63,-1.20,9.07,0.04,0.29,0.03
4.69,-1.10,8.93,0.05,0.28,0.03
4.62,-1.07,8.79,0.06,0.27,0.04
4.59,-1.13,8.57,0.05,0.27,0.04
4.54,-1.08,8.60,0.03,0.27,0.04
4.55,-1.07,8.61,0.02,0.27,0.04
4.51,-0.99,8.76,0.01,0.27,0.05
4.39,-0.97,8.51,0.03,0.28,0.05
4.31,-0.94,8.49,0.03,0.29,0.07
4.40,-0.76,8.29,0.01,0.30,0.08
4.50,-0.85,8.40,-0.01,0.31,0.10
4.39,-1.11,8.38,-0.02,0.32,0.09
4.17,-0.99,8.62,-0.03,0.32,0.10
3.98,-1.60,8.59,-0.04,0.32,0.10
4.23,-1.57,8.37,-0.02,0.34,0.09
4.31,-1.30,8.47,-0.02,0.34,0.09
4.23,-1.59,8.53,-0.01,0.36,0.09
3.97,-1.59,8.76,-0.01,0.36,0.07
